timestamp,correlation_id,request_id,waf_event_id,attack_type,risk_score,risk_level,confidence,action,detection_method,request_component,mitigation
2026-08-31T20:07:40.405695+05:30,4aa2590b-5b89-4bec-bba4-9148f9bf0780,814,47,Prompt Injection,89,Critical,0.94,blocked,hybrid,query.value,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T20:07:40.353194+05:30,ad2bef64-76c2-4a92-a2d2-7494aee74af1,813,46,XSS,95,Critical,1.0,blocked,hybrid,body.value,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T20:07:40.292705+05:30,d59afe4f-91e6-4035-9eee-befda02be1f1,812,45,SQL Injection,95,Critical,1.0,blocked,hybrid,body.value,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T19:19:11.401066+05:30,08c9c9ef-9fff-416e-bf14-3c3f748d73f0,801,34,Prompt Injection,48,Medium,0.72,blocked,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T19:18:55.978655+05:30,751dddee-0cd2-448e-b47c-2b42a5670113,800,33,Prompt Injection,48,Medium,0.72,blocked,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T19:18:37.901657+05:30,1b11fe62-c516-480d-a334-0435ac353990,799,32,Prompt Injection,48,Medium,0.72,blocked,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T19:17:59.509851+05:30,4ef07d49-012b-45a1-bd04-9af5d0cec8de,798,31,Prompt Injection,48,Medium,0.72,blocked,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T19:17:39.202181+05:30,4dd75faf-f7cd-402f-b80c-8729b4950feb,797,30,Prompt Injection,48,Medium,0.72,blocked,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T19:17:20.307892+05:30,542050b8-4001-456c-b93c-59f093c7e6b1,796,29,Prompt Injection,48,Medium,0.72,blocked,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T19:17:20.094812+05:30,a38fcb5f-c5c2-46d5-aca3-603ad8621be4,793,26,Prompt Injection,89,Critical,0.94,blocked,hybrid,body.prompt,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T19:17:19.982577+05:30,317eb047-421e-4e19-876c-e125737df0d0,792,25,XSS,95,Critical,1.0,blocked,hybrid,query.q,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T19:17:19.830657+05:30,44e23beb-2ae2-4db1-bb62-df0da3f7da9d,791,24,SQL Injection,95,Critical,1.0,blocked,hybrid,query.username,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T19:17:19.733125+05:30,36f4e4c6-5d39-4191-8923-4c69be3a7dab,790,23,Prompt Injection,48,Medium,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T19:17:19.475372+05:30,3868c78a-2842-464f-bdd1-ef968b99b84c,789,22,Prompt Injection,48,Medium,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T16:32:11.680346+05:30,d79a0733-edaf-4da3-9420-6b8b72f5daaa,788,21,Prompt Injection,48,Medium,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T16:31:17.491050+05:30,443a6eeb-e5be-4c30-b942-268cac824876,787,20,Prompt Injection,50,Medium,0.75,allowed,ml,query.message,Validate and isolate untrusted input before processing.
2026-08-31T16:31:17.491007+05:30,443a6eeb-e5be-4c30-b942-268cac824876,787,20,XSS,46,Medium,0.69,allowed,ml,query.upstream_url,Validate and isolate untrusted input before processing.
2026-08-31T16:31:17.490902+05:30,443a6eeb-e5be-4c30-b942-268cac824876,787,20,Prompt Injection,48,Medium,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T16:30:33.771738+05:30,ef15c30d-3fc4-41f3-851a-7ec4cb78af8b,786,19,Prompt Injection,89,Critical,0.94,blocked,hybrid,body.prompt,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:30:33.737286+05:30,0970fa95-03a4-4c6b-8828-887f694bf4c4,785,18,XSS,95,Critical,1.0,blocked,hybrid,query.q,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:30:33.704966+05:30,c75db475-88c4-4930-9018-1ef8ec3154f1,784,17,SQL Injection,95,Critical,1.0,blocked,hybrid,query.username,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:30:33.653547+05:30,835ee7d2-a772-4004-a654-f462d5573ffb,781,14,Prompt Injection,46,Medium,0.69,allowed,ml,body.message,Validate and isolate untrusted input before processing.
2026-08-31T16:30:33.653468+05:30,835ee7d2-a772-4004-a654-f462d5573ffb,781,14,Prompt Injection,48,Medium,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T16:30:33.605038+05:30,443a6eeb-e5be-4c30-b942-268cac824876,780,13,Prompt Injection,48,Medium,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T16:29:32.493270+05:30,8426b77d-9193-4685-9cc1-09805af59012,777,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:32.480675+05:30,42ff26a1-dc42-42c2-ae7b-3e99409bfa39,776,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:32.310804+05:30,,,,SQL Injection,95,Critical,1.0,blocked,rule_based,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:29:32.127093+05:30,32f7120a-fee8-495c-9402-26ec97698adf,775,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:32.116096+05:30,32f7120a-fee8-495c-9402-26ec97698adf,775,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:29:32.105864+05:30,32f7120a-fee8-495c-9402-26ec97698adf,775,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:32.096259+05:30,32f7120a-fee8-495c-9402-26ec97698adf,775,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:29:32.076604+05:30,9e5543cb-55f0-40bf-b9c7-e847aec964d0,774,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:29:32.058054+05:30,5ffec2e4-479d-444e-bc19-e440593b9dee,773,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:32.038272+05:30,3863691c-8262-483b-88bf-55d5f568dce6,772,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:32.018789+05:30,3b87255b-70ea-483e-aa22-49fe3888a2d2,771,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:31.996872+05:30,f5e29ebf-dd80-4155-b7fd-a41a608026d3,770,,Prompt Injection,89,Critical,0.94,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:29:31.973435+05:30,dbcc8cfc-8de6-4d6c-bb11-67cfacd4cafb,769,,Prompt Injection,86,Critical,0.9,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:29:31.952467+05:30,6e43fa4a-6fe4-4241-a903-56792103e546,768,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:29:31.930903+05:30,d1ba36f4-9aaa-43ec-a82e-93b890da0e14,767,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:29:31.246410+05:30,446a4451-da04-4436-ac90-857b734f6d1c,757,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:31.225045+05:30,30ffe8ee-4960-4aa4-9d4f-506ddb6aaf17,756,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:31.202080+05:30,42bc6077-3de3-449c-a69e-f908e6816415,755,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:29:31.181381+05:30,7080056b-6b48-4550-8725-99e534411e00,754,,Prompt Injection,91,Critical,0.96,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:29:31.158295+05:30,2ac8d005-22eb-4ee8-80ed-19fae0b2893e,753,,Prompt Injection,95,Critical,1.0,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:29:31.136470+05:30,61293637-7cb9-459a-9f94-3b56c2aec2e9,752,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:29:31.115890+05:30,525b4c63-8e2f-40e4-86ed-e35084a39754,751,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:29:31.089902+05:30,e7dbf265-91f8-4da3-88a3-727f80477a80,750,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:22:09.677217+05:30,4eb43151-696a-48e7-8461-7d8cc0af6c97,740,12,Prompt Injection,89,Critical,0.94,blocked,hybrid,body.prompt,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:22:09.640051+05:30,ca077ed8-ad14-4f08-9756-83f760b768fb,739,11,XSS,95,Critical,1.0,blocked,hybrid,query.q,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:22:09.604831+05:30,b02fcb7e-cc55-4963-ad09-76f5d3b5e65a,738,10,SQL Injection,95,Critical,1.0,blocked,hybrid,query.username,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:22:09.552244+05:30,ac59cce0-cd4e-4d04-a93f-8df61e9eb107,737,9,Prompt Injection,48,Medium,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T16:18:30.106853+05:30,edecb797-f4ea-43d4-99bb-8988c3087ea1,736,8,Prompt Injection,89,Critical,0.94,blocked,hybrid,body.prompt,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:18:30.068643+05:30,bf7b93ae-d138-4f54-8e7d-909368816910,735,7,XSS,95,Critical,1.0,blocked,hybrid,query.q,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:18:30.029871+05:30,9becdd94-1a04-437c-b2f6-3d19f21da748,734,6,SQL Injection,95,Critical,1.0,blocked,hybrid,query.username,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:18:29.989548+05:30,e505a264-f27f-4ab2-a9dc-fcd43658e09b,733,5,Prompt Injection,68,High,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T16:17:44.709275+05:30,187bc167-d57c-4711-88ab-44cfe760ee93,730,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:44.697376+05:30,16e57cfd-cb7f-439c-9a18-9b86a66502db,729,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:44.528862+05:30,,,,SQL Injection,95,Critical,1.0,blocked,rule_based,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:17:44.345498+05:30,69fb122a-cf88-4c43-80ec-41601d425362,728,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:44.336936+05:30,69fb122a-cf88-4c43-80ec-41601d425362,728,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:17:44.325805+05:30,69fb122a-cf88-4c43-80ec-41601d425362,728,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:44.315934+05:30,69fb122a-cf88-4c43-80ec-41601d425362,728,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:17:44.297784+05:30,241e532d-913d-4668-9548-0cf398403c41,727,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:17:44.279540+05:30,7607307d-95c9-49a4-9842-f80e7f97e649,726,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:44.260910+05:30,787d6609-f1b6-4171-a524-0477759a3b84,725,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:44.242260+05:30,856c0820-d96a-4fb7-9ac1-7824f0c43f86,724,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:44.223202+05:30,2fdadb7c-aac8-4277-aed1-28d89d9442f1,723,,Prompt Injection,89,Critical,0.94,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:17:44.204374+05:30,35b6d15a-127f-44dc-8ab3-da8a89400af3,722,,Prompt Injection,86,Critical,0.9,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:17:44.184831+05:30,e644d7e3-7e0c-455f-88d3-f797d84fb7e6,721,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:17:44.164298+05:30,cc429d2e-892e-42b2-bd10-1ee719bc0490,720,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:17:43.552701+05:30,f34dec08-f957-44dd-b2dd-649a3c8b565b,710,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:43.532399+05:30,06b1ec03-a4df-4aeb-91ca-547360dd9f82,709,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:43.513055+05:30,b6d2eaef-4812-47bc-bd49-def9bcd0e5be,708,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:17:43.493738+05:30,dd899080-0960-448d-994c-1de16a286ec0,707,,Prompt Injection,91,Critical,0.96,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:17:43.473714+05:30,b124094a-c44b-4073-b80f-784083a4d5dc,706,,Prompt Injection,95,Critical,1.0,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:17:43.454465+05:30,8a3b9d6e-fd73-4fa7-9e7b-e18157b86667,705,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:17:43.434643+05:30,97034829-da67-4904-ac5f-7f2bd950f4a6,704,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:17:43.412922+05:30,e7bb1661-6a15-4720-bd1b-db94931ecf0e,703,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:14:48.774800+05:30,1790c45d-37fd-4d15-bb86-a89b0e71ea96,693,4,Prompt Injection,89,Critical,0.94,blocked,hybrid,body.prompt,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:14:48.736108+05:30,6909bedb-857c-4064-8402-46ea3ff85025,692,3,XSS,95,Critical,1.0,blocked,hybrid,query.q,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:14:48.699636+05:30,5f514593-958e-44bd-ad8c-93cfad12ca53,691,2,SQL Injection,95,Critical,1.0,blocked,hybrid,query.username,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:14:48.658576+05:30,7951630c-8ebb-43d1-91ef-b6ff4b4d2fef,690,1,Prompt Injection,68,High,0.72,allowed,ml,path,Validate and isolate untrusted input before processing.
2026-08-31T16:13:55.599593+05:30,bf7c42bf-f7a4-4810-b5a3-070107fa544c,687,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:55.585359+05:30,282511c6-cd73-4f5b-be28-b7ad766c5211,686,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:55.395061+05:30,,,,SQL Injection,95,Critical,1.0,blocked,rule_based,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:13:55.182890+05:30,d7b1ae00-c103-4724-91d8-bfb51afc98fe,685,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:55.171631+05:30,d7b1ae00-c103-4724-91d8-bfb51afc98fe,685,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:13:55.160591+05:30,d7b1ae00-c103-4724-91d8-bfb51afc98fe,685,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:55.149038+05:30,d7b1ae00-c103-4724-91d8-bfb51afc98fe,685,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:13:55.127144+05:30,8b77ae03-6f71-486e-9e75-ea518486ae43,684,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:13:55.102630+05:30,d187d96f-1d1d-4e6f-9a9f-2545488c99f7,683,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:55.082192+05:30,2c89c3e5-ca8c-42c5-8b80-92a5d3fbae4f,682,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:55.061980+05:30,71b5053b-d6b5-4f96-94ff-5dc94d90600a,681,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:55.040906+05:30,06640667-710c-49d2-9b15-c168e806d82e,680,,Prompt Injection,89,Critical,0.94,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:13:55.018239+05:30,fab4ed93-64c9-4aa1-b73b-b7633955419f,679,,Prompt Injection,86,Critical,0.9,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:13:54.996652+05:30,c8e92a97-374b-497c-880e-5adaa1e62f2c,678,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:13:54.975375+05:30,b3c00170-abdf-46ab-bc26-c5370dafb919,677,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:13:54.292134+05:30,bedc0486-c487-4a11-8ab9-3d9ed7735cba,667,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:54.269385+05:30,02fe3de3-4403-4c73-8cc3-2dee6ce2dec9,666,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:54.246705+05:30,bd046771-e8f8-4d32-8fe1-0522a5db9f33,665,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T16:13:54.225993+05:30,64d5e046-ebda-4904-b877-33f007a1cd92,664,,Prompt Injection,91,Critical,0.96,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:13:54.203487+05:30,8e36c608-1795-4991-bd55-075a419e165d,663,,Prompt Injection,95,Critical,1.0,blocked,hybrid,,Never pass raw user input directly to LLM system prompts. Use input/output filtering and sandwich defense patterns. Implement role-based prompt isolation.
2026-08-31T16:13:54.182913+05:30,b1f7a66d-9786-45b8-a4c6-fec540c0c55e,662,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T16:13:54.162100+05:30,001569d6-3153-4135-ad0d-d066dc9d97bc,661,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T16:13:54.135132+05:30,01382abb-be81-4571-87ae-8f2afc2f8a00,660,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T15:49:52.909514+05:30,6ff230bf-5b6b-4f22-9d90-2fc9edca7d15,648,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T15:49:52.897220+05:30,568792ae-cf8b-4010-8d33-481bb985d99a,647,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T15:49:52.722292+05:30,,,,SQL Injection,95,Critical,1.0,blocked,rule_based,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T15:49:52.532144+05:30,4d80607e-e586-49f2-a9a0-7df072e25115,646,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T15:49:52.521633+05:30,4d80607e-e586-49f2-a9a0-7df072e25115,646,,XSS,95,Critical,1.0,blocked,hybrid,,Encode all user-supplied output (HTML entity encoding). Use Content-Security-Policy headers. Sanitize inputs using a library like DOMPurify on the client side.
2026-08-31T15:49:52.513049+05:30,4d80607e-e586-49f2-a9a0-7df072e25115,646,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T15:49:52.501784+05:30,4d80607e-e586-49f2-a9a0-7df072e25115,646,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T15:49:52.483173+05:30,4ed38870-1283-4b85-840a-eb9dd84523d7,645,,SQL Injection,95,Critical,1.0,blocked,hybrid,,Use parameterized queries (prepared statements). Validate and sanitize all user inputs. Apply the principle of least privilege to database accounts.
2026-08-31T15:49:52.466582+05:30,34e283a3-9572-431e-be7f-e09f0e416f5c,644,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T15:49:52.448779+05:30,028d7282-c60e-4817-b70a-39186dd8ddf7,643,,,0,Safe,0.0,allowed,hybrid,,
2026-08-31T15:49:52.429759+05:30,edae440f-acc4-4689-b15d-cb71876aa4a3,642,,,0,Safe,0.0,allowed,hybrid,,
